url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204888/ERR204888_1.fastq.gz	7cbb8e5a32f9a4732f8f4ed88b66acee	Geuvadis	sequence	mRNA	NA18934	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204942/ERR204942_1.fastq.gz	2d63933aebdea65180c9cb356f09860a	Geuvadis	sequence	mRNA	NA18908	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204938/ERR204938_1.fastq.gz	eb0541e80bb75d7a14557186871e5940	Geuvadis	sequence	mRNA	NA19257	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204859/ERR204859_1.fastq.gz	db96ab805b1a767ff51c3c346912b06b	Geuvadis	sequence	mRNA	NA18486	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204821/ERR204821_2.fastq.gz	0f4fd7727fcbfc14d6378fed6711820a	Geuvadis	sequence	mRNA	NA19159	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_2.fastq.gz	616bb2b0575c586384a6ca7c278f9464	Geuvadis	sequence	mRNA	NA19236	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_2.fastq.gz	d67ac97221081268d552ce11e35efe4a	Geuvadis	sequence	mRNA	NA19204	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188392/ERR188392_1.fastq.gz	cf457ccb2dcb37177c90948c3fd50fe5	Geuvadis	sequence	mRNA	NA19210	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188463/ERR188463_1.fastq.gz	5806f9b4613379f0eeabee1608827ed2	Geuvadis	sequence	mRNA	NA19247	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188128/ERR188128_2.fastq.gz	d7541e5da86e45800221323c33c2b43a	Geuvadis	sequence	mRNA	NA19092	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_2.fastq.gz	5e9f7b204022f25794dd7369ba33182a	Geuvadis	sequence	mRNA	NA18488	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188365/ERR188365_1.fastq.gz	670b1a5294697f5038d21f13a6a696e7	Geuvadis	sequence	mRNA	NA19117	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188211/ERR188211_2.fastq.gz	ca37cb0011d1f641d76eb6693a3a1b67	Geuvadis	sequence	mRNA	NA19175	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188158/ERR188158_1.fastq.gz	580443c6e0a41d297c8c02e2695d096a	Geuvadis	sequence	mRNA	NA18502	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
