#FASTQ	SAMPLEID	DATASET	url
ERR188319_1.fastq.gz	NA12249	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188319/ERR188319_1.fastq.gz
ERR188319_2.fastq.gz	NA12249	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188319/ERR188319_2.fastq.gz
ERR188324_1.fastq.gz	NA07347	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188324/ERR188324_1.fastq.gz
ERR188324_2.fastq.gz	NA07347	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188324/ERR188324_2.fastq.gz
ERR188325_1.fastq.gz	NA06984	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188325/ERR188325_1.fastq.gz
ERR188325_2.fastq.gz	NA06984	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188325/ERR188325_2.fastq.gz
ERR188327_1.fastq.gz	NA06985	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188327/ERR188327_1.fastq.gz
ERR188327_2.fastq.gz	NA06985	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188327/ERR188327_2.fastq.gz
ERR188331_1.fastq.gz	NA12155	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_1.fastq.gz
ERR188331_2.fastq.gz	NA12155	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_2.fastq.gz
ERR188336_1.fastq.gz	NA12004	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188336/ERR188336_1.fastq.gz
ERR188336_2.fastq.gz	NA12004	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188336/ERR188336_2.fastq.gz
ERR188339_1.fastq.gz	NA12815	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188339/ERR188339_1.fastq.gz
ERR188339_2.fastq.gz	NA12815	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188339/ERR188339_2.fastq.gz
ERR188348_1.fastq.gz	NA11995	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188348/ERR188348_1.fastq.gz
ERR188348_2.fastq.gz	NA11995	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188348/ERR188348_2.fastq.gz
ERR188349_1.fastq.gz	NA12842	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188349/ERR188349_1.fastq.gz
ERR188349_2.fastq.gz	NA12842	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188349/ERR188349_2.fastq.gz
ERR188350_1.fastq.gz	NA12399	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188350/ERR188350_1.fastq.gz
ERR188350_2.fastq.gz	NA12399	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188350/ERR188350_2.fastq.gz
