#FASTQ	SAMPLEID	DATASET	url
ERR188292_1.fastq.gz	NA19189	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188292/ERR188292_1.fastq.gz
ERR188292_2.fastq.gz	NA19189	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188292/ERR188292_2.fastq.gz
ERR188298_1.fastq.gz	NA18867	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188298/ERR188298_1.fastq.gz
ERR188298_2.fastq.gz	NA18867	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188298/ERR188298_2.fastq.gz
ERR188306_1.fastq.gz	NA19138	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188306/ERR188306_1.fastq.gz
ERR188306_2.fastq.gz	NA19138	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188306/ERR188306_2.fastq.gz
ERR188311_1.fastq.gz	NA18488	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_1.fastq.gz
ERR188311_2.fastq.gz	NA18488	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_2.fastq.gz
ERR188313_1.fastq.gz	NA18873	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188313/ERR188313_1.fastq.gz
ERR188313_2.fastq.gz	NA18873	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188313/ERR188313_2.fastq.gz
ERR188322_1.fastq.gz	NA19190	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_1.fastq.gz
ERR188322_2.fastq.gz	NA19190	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_2.fastq.gz
ERR188344_1.fastq.gz	NA18868	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188344/ERR188344_1.fastq.gz
ERR188344_2.fastq.gz	NA18868	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188344/ERR188344_2.fastq.gz
ERR188352_1.fastq.gz	NA18909	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188352/ERR188352_1.fastq.gz
ERR188352_2.fastq.gz	NA18909	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188352/ERR188352_2.fastq.gz
ERR188363_1.fastq.gz	NA19206	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188363/ERR188363_1.fastq.gz
ERR188363_2.fastq.gz	NA19206	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188363/ERR188363_2.fastq.gz
ERR188364_1.fastq.gz	NA19248	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188364/ERR188364_1.fastq.gz
ERR188364_2.fastq.gz	NA19248	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188364/ERR188364_2.fastq.gz
ERR188365_1.fastq.gz	NA19117	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188365/ERR188365_1.fastq.gz
ERR188365_2.fastq.gz	NA19117	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188365/ERR188365_2.fastq.gz
ERR188367_1.fastq.gz	NA19102	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188367/ERR188367_1.fastq.gz
ERR188367_2.fastq.gz	NA19102	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188367/ERR188367_2.fastq.gz
ERR188373_1.fastq.gz	NA18870	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188373/ERR188373_1.fastq.gz
ERR188373_2.fastq.gz	NA18870	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188373/ERR188373_2.fastq.gz
ERR188375_1.fastq.gz	NA18858	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188375/ERR188375_1.fastq.gz
